1	0.9410 0.0326 0.9846 0.0326 0.9846 0.0484 0.9410 0.0484	"AL-DH-35"
2	0.9363 0.0508 0.9859 0.0508 0.9859 0.0677 0.9363 0.0677	"17,05.2012"
3	0.7965 0.0895 0.8726 0.0895 0.8726 0.1125 0.7965 0.1125	"ALPHATON"
4	0.8811 0.0913 0.9735 0.0913 0.9735 0.1167 0.8811 0.1167	"Ziegelfassade"
5	0.7956 0.1215 0.9171 0.1215 0.9171 0.1457 0.7956 0.1457	"1"
6	0.7961 0.1475 0.8294 0.1475 0.8294 0.1657 0.7961 0.1657	"2.7.3a"
7	0.8354 0.1475 0.8636 0.1475 0.8636 0.1644 0.8354 0.1644	"2"
8	0.7961 0.1693 0.8602 0.1693 0.8602 0.1874 0.7961 0.1874	"Fensterbank"
9	0.7961 0.1898 0.8491 0.1898 0.8491 0.2080 0.7961 0.2080	"1"
10	0.7961 0.2213 0.9042 0.2213 0.9042 0.2430 0.7961 0.2430	"Alu-Unterkonstruktion"
11	0.3254 0.3029 0.3976 0.3029 0.3976 0.3301 0.3254 0.3301	"FENSTERBANK"
12	0.3010 0.3144 0.3215 0.3144 0.3215 0.3301 0.3010 0.3301	"ALU"
13	0.4630 0.3525 0.4716 0.3525 0.4716 0.3682 0.4630 0.3682	"5"
14	0.2351 0.4401 0.2830 0.4401 0.2830 0.4559 0.2351 0.4559	"O-HALTER"
15	0.2445 0.4994 0.2788 0.4994 0.2788 0.5175 0.2445 0.5175	"ACHSE"
16	0.3737 0.5175 0.4036 0.5175 0.4036 0.5333 0.3737 0.5333	"TRAG-"
17	0.7499 0.5200 0.7602 0.5200 0.7602 0.5985 0.7499 0.5985	"NACH STATIK"
18	0.4878 0.5236 0.5742 0.5236 0.5742 0.5417 0.4878 0.5417	"WÄRMEDÄMMUNG"
19	0.3737 0.5345 0.4079 0.5345 0.4079 0.5502 0.3737 0.5502	"PROFIL"
20	0.4292 0.5562 0.4848 0.5562 0.4848 0.5719 0.4292 0.5719	"BOHRSCHR."
21	0.1702 0.6191 0.2471 0.6191 0.2471 0.6348 0.1702 0.6348	"["
22	0.6336 0.6554 0.6678 0.6554 0.6678 0.6735 0.6336 0.6735	"DÜBEL"
23	0.1163 0.6626 0.1274 0.6626 0.1274 0.6892 0.1163 0.6892	"400"
24	0.5041 0.6838 0.5596 0.6838 0.5596 0.6995 0.5041 0.6995	"FESTPUNKT"
25	0.1163 0.6917 0.1283 0.6917 0.1283 0.7267 0.1163 0.7267	"'XVW"
26	0.2198 0.6989 0.2326 0.6989 0.2326 0.8029 0.2198 0.8029	"ZIEGELPLATTE"
27	0.6246 0.7007 0.6682 0.7007 0.6682 0.7092 0.6246 0.7092	"1"
28	0.6327 0.7394 0.7059 0.7394 0.7059 0.7618 0.6327 0.7618	"GEMÄB STATIK ."
29	0.1159 0.7406 0.1287 0.7406 0.1287 0.8120 0.1159 0.8120	"ACHSMAß"
30	0.2805 0.7473 0.2924 0.7473 0.2924 0.7630 0.2805 0.7630	"30"
31	0.3275 0.7485 0.3386 0.7485 0.3386 0.7630 0.3275 0.7630	"10"
32	0.3737 0.7485 0.3856 0.7485 0.3856 0.7630 0.3737 0.7630	"30"
33	0.5130 0.7606 0.5780 0.7606 0.5780 0.7763 0.5130 0.7763	"WANDHALTER"
34	0.2189 0.8114 0.2326 0.8114 0.2326 0.8924 0.2189 0.8924	"ALPHATON"
35	0.6216 0.8259 0.6567 0.8259 0.6567 0.8416 0.6216 0.8416	"THERM."
36	0.3621 0.8398 0.3741 0.8398 0.3741 0.8519 0.3621 0.8519	"5"
37	0.6216 0.8489 0.6969 0.8489 0.6969 0.8658 0.6216 0.8658	"TRENNELEMENT"
38	0.0889 0.9649 0.9106 0.9649 0.9106 0.9849 0.0889 0.9849	"Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum: Jede Verwendung insbesondere die Weitergabe, Vervielfältigung; Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung"
