                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0059,                 1.4935,                 1.4143,                0.94668,                0.38333,                0.57873,                0.45246,                 1.6538,                 2.4503,                 1.4802,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0012,                 1.5557,                 1.2792,                0.94668,                0.38333,                0.57873,                0.45246,                 1.6538,                 2.4503,                 1.4802,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.57652,                 1.3354,                 1.1629,                0.94646,                0.38333,                0.57655,                0.45207,                 1.6404,                 2.4702,                 1.4711,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.88608,                 1.5615,                 1.1167,                0.94646,                0.38333,                0.57655,                0.45207,                 1.6404,                 2.4702,                 1.4711,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.85201,                 2.0408,                 1.2846,                0.94678,                0.38333,                0.58055,                0.46177,                  1.686,                 2.4763,                 1.5107,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 0.8331,                 1.6871,                 1.2791,                0.94678,                0.38333,                0.58055,                0.46177,                  1.686,                 2.4763,                 1.5107,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.86093,                 1.0523,                 1.2837,                0.94708,                0.38333,                 0.5813,                0.45388,                  1.709,                 2.5277,                 1.5459,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65642,                0.95001,                 1.1786,                0.94708,                0.38333,                 0.5813,                0.45388,                  1.709,                 2.5277,                 1.5459,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.92708,                 1.3987,                  1.447,                0.94945,                0.38333,                0.58079,                0.43446,                 1.7325,                 2.5341,                 1.5573,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.68786,                 0.7855,                 1.0608,                0.94945,                0.38333,                0.58079,                0.43446,                 1.7325,                 2.5341,                 1.5573,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.82987,                 1.0911,                  1.208,                0.94886,                0.38452,                0.58401,                0.44401,                 1.7303,                 2.5439,                 1.5588,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.78379,                 1.0269,                 1.1365,                0.94886,                0.38452,                0.58401,                0.44401,                 1.7303,                 2.5439,                 1.5588,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.74083,                0.89639,                 1.1134,                 0.7815,                0.38445,                0.50648,                0.39107,                 1.7499,                 2.5337,                 1.5633,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.85642,                 1.3239,                 1.2266,                 0.7815,                0.38445,                0.50648,                0.39107,                 1.7499,                 2.5337,                 1.5633,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.87718,                 1.1717,                 1.2739,                0.78209,                0.38477,                0.50635,                0.39454,                 1.7364,                 2.5429,                 1.5577,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.98033,                 1.5677,                 1.3505,                0.78209,                0.38477,                0.50635,                0.39454,                 1.7364,                 2.5429,                 1.5577,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.70886,                 1.0939,                 1.1814,                0.77963,                0.38483,                0.50648,                0.37907,                 1.7277,                 2.5527,                 1.5654,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.76142,                0.95843,                 1.1117,                0.77963,                0.38483,                0.50648,                0.37907,                 1.7277,                 2.5527,                 1.5654,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.70193,                 0.6728,                 1.1529,                0.77872,                0.38498,                0.50635,                0.37901,                 1.7314,                 2.5229,                  1.555,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  1.105,                 1.3438,                 1.4839,                0.77872,                0.38498,                0.50635,                0.37901,                 1.7314,                 2.5229,                  1.555,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.67974,                0.96352,                 1.2149,                0.77872,                0.38498,                0.50635,                0.37901,                 1.7314,                 2.5229,                  1.555,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.70757,                0.84641,                 1.1584,                0.94822,                0.38514,                0.50397,                0.36234,                 1.7351,                 2.4672,                 1.5533,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.82592,                 1.0035,                 1.2314,                0.94822,                0.38514,                0.50397,                0.36234,                 1.7351,                 2.4672,                 1.5533,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.63693,                  1.124,                 1.1374,                0.94822,                0.38514,                0.50397,                0.36234,                 1.7351,                 2.4672,                 1.5533,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.80989,                0.95636,                 1.1777,                0.78348,                0.38585,                0.50464,                0.36154,                 1.7597,                 2.4664,                 1.5787,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.78028,                 1.0096,                 1.2003,                0.78348,                0.38585,                0.50464,                0.36154,                 1.7597,                 2.4664,                 1.5787,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.54392,                0.76577,                 1.0374,                0.78348,                0.38585,                0.50464,                0.36154,                 1.7597,                 2.4664,                 1.5787,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.59777,                0.75168,                 1.1563,                0.78465,                0.38622,                0.47769,                0.34115,                 1.7469,                 2.3971,                  1.546,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.92131,                0.96643,                  1.352,                0.78465,                0.38622,                0.47769,                0.34115,                 1.7469,                 2.3971,                  1.546,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 0.6776,                0.73638,                 1.0295,                0.78465,                0.38622,                0.47769,                0.34115,                 1.7469,                 2.3971,                  1.546,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.72211,                 1.0651,                 1.1951,                0.95007,                 0.3866,                0.43502,                 0.2924,                 1.7121,                  2.389,                 1.4992,             2.8494e-05,             2.8494e-05,             2.8494e-05
