                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92688,                 3.1555,                  1.291,                0.88909,                0.52258,                0.72634,                0.50933,                 1.5478,                 1.5842,                 1.3311,                      0,                      0,                      0
                      2,                 1.1608,                  3.127,                 1.5165,                0.90393,                0.52661,                0.73151,                 0.4964,                 1.5466,                  1.549,                 1.3221,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.3904,                 3.7087,                 1.7721,                0.90609,                0.53027,                0.73663,                0.51801,                 1.5444,                 1.5427,                 1.3215,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.5458,                 2.9626,                 1.7659,                0.90733,                0.53498,                0.74973,                0.51561,                 1.5092,                  1.527,                 1.3044,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.2188,                 2.8014,                 1.5964,                0.61286,                0.71992,                0.74994,                 0.5422,                  1.505,                 1.5603,                  1.305,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.60841,                 2.1769,                  1.005,                0.91028,                0.54574,                0.74961,                0.54314,                 1.5146,                 1.5936,                  1.305,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1278,                  3.202,                 1.4481,                 0.9123,                   0.55,                0.75071,                 0.5405,                 1.5271,                 1.6733,                  1.305,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1468,                 2.7081,                 1.5621,                0.91215,                   0.55,                0.74923,                0.53155,                 1.5384,                 1.7168,                  1.311,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.89158,                  2.291,                 1.2312,                0.91881,                   0.55,                0.74942,                0.52836,                 1.5582,                 1.7429,                  1.328,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1354,                 2.3397,                 1.3546,                0.93084,                   0.55,                0.75121,                0.52333,                 1.5652,                 1.7922,                 1.3369,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.2179,                 2.2101,                  1.521,                0.94346,                0.53297,                0.75334,                0.52121,                 1.5644,                 1.8371,                 1.3597,             1.0722e-05,             1.0722e-05,             1.0722e-05
