                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.217,                 1.3917,                 1.6618,                0.94638,                0.38333,                0.57755,                0.42867,                 1.6584,                 2.3398,                 1.4748,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.73596,                 1.2333,                 1.2489,                0.94638,                0.38333,                0.57755,                0.42867,                 1.6584,                 2.3398,                 1.4748,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.75109,                  1.165,                 1.2195,                0.77933,                0.38537,                0.58202,                0.43155,                 1.6789,                 2.3703,                 1.4981,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.0846,                 1.6522,                 1.4235,                0.77933,                0.38537,                0.58202,                0.43155,                 1.6789,                 2.3703,                 1.4981,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.83479,                 1.0383,                 1.1091,                0.77742,                0.38548,                0.58221,                0.44818,                 1.7006,                 2.3773,                 1.5157,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.87567,                0.86356,                 1.0539,                0.77742,                0.38548,                0.58221,                0.44818,                 1.7006,                 2.3773,                 1.5157,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.2294,                 2.2533,                 1.6068,                0.94107,                0.38553,                0.58059,                0.44609,                 1.7445,                 2.4069,                 1.5656,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.7873,                 1.6213,                 1.2936,                0.94107,                0.38553,                0.58059,                0.44609,                 1.7445,                 2.4069,                 1.5656,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.1012,                 1.3572,                 1.5347,                0.94102,                0.38535,                0.58086,                 0.4447,                 1.7321,                 2.4241,                 1.5493,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.87324,                 1.0449,                 1.1773,                0.94102,                0.38535,                0.58086,                 0.4447,                 1.7321,                 2.4241,                 1.5493,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 0.8411,                0.83939,                    1.1,                0.93914,                0.38532,                 0.5808,                0.46136,                 1.7239,                 2.4103,                 1.5399,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.70954,                   1.14,                 1.0904,                0.93914,                0.38532,                 0.5808,                0.46136,                 1.7239,                 2.4103,                 1.5399,             2.9387e-05,             2.9387e-05,             2.9387e-05
